user_id,event_type,product_id,price,event_time
5fd25fd1-437c-46b3-9a39-aa545fcef320,view,CLTH_006,0.0,2026-08-24 20:23:19.145949
a5184ecf-8473-4c68-a33b-f6c956626ce8,cart,BOOK_017,40.7,2026-08-22 17:05:29.063486
bd22f4c4-5268-45d9-9243-8d72683946f2,view,ELEC_025,0.0,2026-08-23 19:34:04.274212
e0fd2345-d654-4429-9d48-e2b1544bc0ee,view,SPRT_005,0.0,2026-08-19 23:21:14.094086
ecef0a71-9256-43e0-bf92-91fc8ffffcf4,view,FOOD_024,0.0,2026-08-24T20:09:27.287572
800f664d-f662-49db-9420-27bde33160de,view,CLTH_004,0.0,2026-08-16 10:28:43.494916
e7011402-63aa-4b75-87a9-67546325bcab,view,BOOK_009,0.0,2026-08-24 21:51:12.984993
59b41456-0c0c-46d0-9f3c-5fd6fe62f88a,cart,ELEC_029,103.36,2026-08-24T20:32:09.469949
4eca1658-9c92-4d94-98cf-ac4413183c56,cart,FOOD_010,17.6,2026-08-24T20:10:01.145087
9ea41e68-c710-4b07-b2ae-6bbf22342547,purchase,CLTH_020,287.28,2026-08-16 10:42:07.229939
00f663e7-4a3e-49a4-a200-c3c06ef5259a,cart,SPRT_029,50.6,2026-08-24T22:35:11.169607
e0cac62b-7a87-44bb-8198-dd96bc7eb6ae,purchase,SPRT_027,107.7,2026-08-22T17:59:32.313103
3c8208eb-982f-4c25-aeb6-1d676d8c95fd,view,BOOK_019,0.0,2026-08-24T20:54:15.118486
27ab56fc-882d-4198-a735-9f9394cf678a,view,FOOD_021,0.0,2026-08-23T19:45:57.113997
7a84b978-cc6b-49c8-8bba-b1f87d39615a,view,BOOK_005,0.0,2026-08-24T21:45:49.240728
2ca3ba80-c4ea-48a9-9d49-ec547b2177a2,view,CLTH_025,0.0,2026-08-18 19:20:05.290668
e520f38d-6d20-43be-ac04-26f7b8d044bb,purchase,ELEC_020,231.9,2026-08-18 19:19:49.774056
